Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio	cluster_original
119	1	1	40	44	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200002.wav	CANTERA1Tapy	cluster_9
120	1	1	42	46	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200002.wav	CANTERA1Tapy	cluster_9
121	1	1	30	34	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200102.wav	CANTERA1Tapy	cluster_9
122	1	1	32	36	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200102.wav	CANTERA1Tapy	cluster_9
123	1	1	34	38	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200102.wav	CANTERA1Tapy	cluster_9
124	1	1	36	40	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200102.wav	CANTERA1Tapy	cluster_9
125	1	1	38	42	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200102.wav	CANTERA1Tapy	cluster_9
126	1	1	40	44	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200102.wav	CANTERA1Tapy	cluster_9
127	1	1	42	46	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200102.wav	CANTERA1Tapy	cluster_9
128	1	1	44	48	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200102.wav	CANTERA1Tapy	cluster_9
129	1	1	46	50	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200102.wav	CANTERA1Tapy	cluster_9
130	1	1	10	14	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200202.wav	CANTERA1Tapy	cluster_9
131	1	1	24	28	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200202.wav	CANTERA1Tapy	cluster_9
132	1	1	26	30	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200202.wav	CANTERA1Tapy	cluster_9
133	1	1	34	38	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200202.wav	CANTERA1Tapy	cluster_9
134	1	1	22	26	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200302.wav	CANTERA1Tapy	cluster_9
135	1	1	28	32	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200302.wav	CANTERA1Tapy	cluster_9
136	1	1	30	34	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200302.wav	CANTERA1Tapy	cluster_9
137	1	1	32	36	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200302.wav	CANTERA1Tapy	cluster_9
138	1	1	34	38	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200302.wav	CANTERA1Tapy	cluster_9
139	1	1	44	48	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200302.wav	CANTERA1Tapy	cluster_9
140	1	1	0	4	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200502.wav	CANTERA1Tapy	cluster_9
141	1	1	2	6	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200502.wav	CANTERA1Tapy	cluster_9
142	1	1	4	8	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200502.wav	CANTERA1Tapy	cluster_9
143	1	1	6	10	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200502.wav	CANTERA1Tapy	cluster_9
144	1	1	8	12	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200502.wav	CANTERA1Tapy	cluster_9
145	1	1	16	20	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200502.wav	CANTERA1Tapy	cluster_9
146	1	1	18	22	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200502.wav	CANTERA1Tapy	cluster_9
147	1	1	18	22	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200602.wav	CANTERA1Tapy	cluster_9
148	1	1	20	24	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200602.wav	CANTERA1Tapy	cluster_9
149	1	1	30	34	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200602.wav	CANTERA1Tapy	cluster_9
150	1	1	34	38	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200602.wav	CANTERA1Tapy	cluster_9
151	1	1	36	40	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200602.wav	CANTERA1Tapy	cluster_9
152	1	1	38	42	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200602.wav	CANTERA1Tapy	cluster_9
153	1	1	40	44	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200602.wav	CANTERA1Tapy	cluster_9
154	1	1	42	46	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200602.wav	CANTERA1Tapy	cluster_9
155	1	1	44	48	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200602.wav	CANTERA1Tapy	cluster_9
