Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
1490	1	1	44	48	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_034402.wav	BO-81Tapyta/BO-81TAPYTA_20250413_034402.wav	BO-Tapyta
1491	1	1	46	50	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_044002.wav	BO-82Tapyta/BO-82TAPYTA_20250413_044002.wav	BO-Tapyta
1492	1	1	8	12	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_041602.wav	BO-82Tapyta/BO-82TAPYTA_20250413_041602.wav	BO-Tapyta
1493	1	1	28	32	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_025402.wav	BO-82Tapyta/BO-82TAPYTA_20250413_025402.wav	BO-Tapyta
1494	1	1	12	16	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_052302.wav	BO-81Tapyta/BO-81TAPYTA_20250413_052302.wav	BO-Tapyta
1495	1	1	48	52	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_030302.wav	BO-81Tapyta/BO-81TAPYTA_20250413_030302.wav	BO-Tapyta
1496	1	1	22	26	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250412_222502.wav	BO-81Tapyta/BO-81TAPYTA_20250412_222502.wav	BO-Tapyta
1497	1	1	16	20	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_041202.wav	BO-82Tapyta/BO-82TAPYTA_20250413_041202.wav	BO-Tapyta
1498	1	1	18	22	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_013802.wav	BO-82Tapyta/BO-82TAPYTA_20250413_013802.wav	BO-Tapyta
1499	1	1	0	4	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_043002.wav	BO-82Tapyta/BO-82TAPYTA_20250413_043002.wav	BO-Tapyta
1500	1	1	46	50	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_034202.wav	BO-81Tapyta/BO-81TAPYTA_20250413_034202.wav	BO-Tapyta
1501	1	1	6	10	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250502_212002.wav	BO-82Tapyta/BO-82TAPYTA_20250502_212002.wav	BO-Tapyta
1502	1	1	28	32	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250412_213802.wav	BO-81Tapyta/BO-81TAPYTA_20250412_213802.wav	BO-Tapyta
1503	1	1	34	38	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_044202.wav	BO-81Tapyta/BO-81TAPYTA_20250413_044202.wav	BO-Tapyta
1504	1	1	34	38	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_041502.wav	BO-82Tapyta/BO-82TAPYTA_20250413_041502.wav	BO-Tapyta
1505	1	1	52	56	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_044102.wav	BO-81Tapyta/BO-81TAPYTA_20250413_044102.wav	BO-Tapyta
1506	1	1	34	38	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_042202.wav	BO-82Tapyta/BO-82TAPYTA_20250413_042202.wav	BO-Tapyta
1507	1	1	26	30	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_043602.wav	BO-82Tapyta/BO-82TAPYTA_20250413_043602.wav	BO-Tapyta
1508	1	1	16	20	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250502_231302.wav	BO-82Tapyta/BO-82TAPYTA_20250502_231302.wav	BO-Tapyta
1509	1	1	14	18	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_043302.wav	BO-82Tapyta/BO-82TAPYTA_20250413_043302.wav	BO-Tapyta
1510	1	1	8	12	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_053702.wav	BO-81Tapyta/BO-81TAPYTA_20250413_053702.wav	BO-Tapyta
1511	1	1	34	38	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_033002.wav	BO-82Tapyta/BO-82TAPYTA_20250413_033002.wav	BO-Tapyta
1512	1	1	50	54	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_041102.wav	BO-82Tapyta/BO-82TAPYTA_20250413_041102.wav	BO-Tapyta
1513	1	1	32	36	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_044202.wav	BO-82Tapyta/BO-82TAPYTA_20250413_044202.wav	BO-Tapyta
1514	1	1	6	10	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_032802.wav	BO-81Tapyta/BO-81TAPYTA_20250413_032802.wav	BO-Tapyta
1515	1	1	42	46	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_032302.wav	BO-82Tapyta/BO-82TAPYTA_20250413_032302.wav	BO-Tapyta
1516	1	1	10	14	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_024802.wav	BO-82Tapyta/BO-82TAPYTA_20250413_024802.wav	BO-Tapyta
1517	1	1	0	4	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_041102.wav	BO-82Tapyta/BO-82TAPYTA_20250413_041102.wav	BO-Tapyta
