Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen
95	1	1	26.0	30.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav
96	1	1	28.0	32.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav
97	1	1	30.0	34.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav
98	1	1	32.0	36.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav
99	1	1	34.0	38.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav
100	1	1	36.0	40.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav
101	1	1	38.0	42.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav
102	1	1	40.0	44.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav
103	1	1	42.0	46.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav
104	1	1	44.0	48.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav
105	1	1	46.0	50.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav
106	1	1	48.0	52.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav
107	1	1	50.0	54.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav
108	1	1	52.0	56.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav
109	1	1	0.0	4.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
110	1	1	2.0	6.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
111	1	1	4.0	8.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
112	1	1	6.0	10.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
113	1	1	8.0	12.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
114	1	1	10.0	14.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
115	1	1	12.0	16.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
116	1	1	14.0	18.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
117	1	1	16.0	20.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
118	1	1	18.0	22.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
119	1	1	20.0	24.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
120	1	1	22.0	26.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
121	1	1	24.0	28.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
122	1	1	26.0	30.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
123	1	1	28.0	32.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
124	1	1	30.0	34.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
125	1	1	32.0	36.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
126	1	1	34.0	38.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
127	1	1	36.0	40.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
128	1	1	38.0	42.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
129	1	1	40.0	44.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
130	1	1	42.0	46.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
131	1	1	44.0	48.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
132	1	1	46.0	50.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
133	1	1	48.0	52.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
134	1	1	50.0	54.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
135	1	1	52.0	56.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180402.wav
136	1	1	0.0	4.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
137	1	1	2.0	6.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
138	1	1	4.0	8.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
139	1	1	6.0	10.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
140	1	1	8.0	12.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
141	1	1	10.0	14.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
142	1	1	12.0	16.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
143	1	1	14.0	18.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
144	1	1	16.0	20.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
145	1	1	18.0	22.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
146	1	1	20.0	24.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
147	1	1	22.0	26.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
148	1	1	24.0	28.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
149	1	1	26.0	30.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
150	1	1	28.0	32.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
151	1	1	30.0	34.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
152	1	1	32.0	36.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
