Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen
101	1	1	40.0	44.0	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250415_235502.wav
102	1	1			0.0	8000.0		
103	1	1			0.0	8000.0		
104	1	1			0.0	8000.0		
105	1	1			0.0	8000.0		
106	1	1			0.0	8000.0		
107	1	1			0.0	8000.0		
108	1	1			0.0	8000.0		
109	1	1			0.0	8000.0		
110	1	1			0.0	8000.0		
111	1	1			0.0	8000.0		
112	1	1	52.0	56.0	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250415_202102.wav
113	1	1	18.0	22.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250416_013902.wav
114	1	1			0.0	8000.0		
115	1	1	36.0	40.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_195302.wav
116	1	1	28.0	32.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_005602.wav
117	1	1			0.0	8000.0		
118	1	1	36.0	40.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250416_212702.wav
119	1	1			0.0	8000.0		
120	1	1	4.0	8.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_201702.wav
121	1	1			0.0	8000.0		
122	1	1	28.0	32.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_230102.wav
123	1	1	28.0	32.0	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250416_025902.wav
124	1	1			0.0	8000.0		
125	1	1	8.0	12.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250417_212102.wav
126	1	1			0.0	8000.0		
127	1	1			0.0	8000.0		
128	1	1			0.0	8000.0		
129	1	1			0.0	8000.0		
130	1	1			0.0	8000.0		
131	1	1			0.0	8000.0		
132	1	1	42.0	46.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250427_012602.wav
133	1	1	42.0	46.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250417_024902.wav
134	1	1			0.0	8000.0		
135	1	1			0.0	8000.0		
136	1	1			0.0	8000.0		
137	1	1			0.0	8000.0		
138	1	1			0.0	8000.0		
139	1	1	32.0	36.0	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250415_212302.wav
140	1	1	48.0	52.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250502_222602.wav
141	1	1			0.0	8000.0		
142	1	1	10.0	14.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_210802.wav
143	1	1			0.0	8000.0		
144	1	1			0.0	8000.0		
145	1	1			0.0	8000.0		
146	1	1			0.0	8000.0		
147	1	1			0.0	8000.0		
148	1	1			0.0	8000.0		
149	1	1			0.0	8000.0		
150	1	1			0.0	8000.0		
151	1	1	40.0	44.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250425_211802.wav
152	1	1			0.0	8000.0		
153	1	1	46.0	50.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250501_191202.wav
154	1	1	6.0	10.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250413_193402.wav
155	1	1			0.0	8000.0		
156	1	1			0.0	8000.0		
157	1	1			0.0	8000.0		
158	1	1			0.0	8000.0		
159	1	1			0.0	8000.0		
160	1	1	28.0	32.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250427_012602.wav
161	1	1			0.0	8000.0		
162	1	1			0.0	8000.0		
163	1	1			0.0	8000.0		
164	1	1	24.0	28.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250417_225602.wav
165	1	1			0.0	8000.0		
166	1	1			0.0	8000.0		
167	1	1			0.0	8000.0		
168	1	1			0.0	8000.0		
169	1	1			0.0	8000.0		
170	1	1			0.0	8000.0		
171	1	1			0.0	8000.0		
172	1	1			0.0	8000.0		
173	1	1			0.0	8000.0		
174	1	1			0.0	8000.0		
175	1	1			0.0	8000.0		
176	1	1			0.0	8000.0		
177	1	1			0.0	8000.0		
178	1	1			0.0	8000.0		
179	1	1	10.0	14.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250418_003202.wav
180	1	1			0.0	8000.0		
181	1	1	46.0	50.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250416_005902.wav
182	1	1			0.0	8000.0		
183	1	1			0.0	8000.0		
184	1	1	50.0	54.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250417_212702.wav
185	1	1			0.0	8000.0		
186	1	1			0.0	8000.0		
187	1	1			0.0	8000.0		
188	1	1	36.0	40.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250415_203302.wav
189	1	1	28.0	32.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250427_201902.wav
190	1	1			0.0	8000.0		
191	1	1			0.0	8000.0		
192	1	1			0.0	8000.0		
193	1	1			0.0	8000.0		
194	1	1			0.0	8000.0		
195	1	1	40.0	44.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_015302.wav
196	1	1			0.0	8000.0		
197	1	1			0.0	8000.0		
198	1	1	32.0	36.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250427_210102.wav
199	1	1	2.0	6.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_194202.wav
200	1	1			0.0	8000.0		
201	1	1			0.0	8000.0		
202	1	1			0.0	8000.0		
